URN, Image Reference
urn:cts:greekLit:tlg0012.tlg001.e3:10.1,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.4695,0.6682,0.2593,0.0495"
urn:cts:greekLit:tlg0012.tlg001.e3:10.2,"urn:cite:hmt:e3bifolio.E3-123v-124r@0.4865,0.7057,0.2272,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:10.3,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2402,0.3018,0.2142,0.042"
urn:cts:greekLit:tlg0012.tlg001.e3:10.4,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2392,0.3303,0.2142,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:10.5,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2292,0.3468,0.2212,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.6,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2342,0.3664,0.2322,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.7,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2322,0.3844,0.2322,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.8,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2322,0.4009,0.2322,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.9,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2312,0.4174,0.2322,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.10,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2312,0.4354,0.2322,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.11,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2252,0.452,0.2252,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.12,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2342,0.4715,0.2212,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:10.13,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2372,0.4895,0.2212,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:10.14,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2372,0.506,0.2212,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:10.15,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2392,0.5195,0.2212,0.0255"
urn:cts:greekLit:tlg0012.tlg001.e3:10.16,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2392,0.5375,0.2212,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.17,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2392,0.5556,0.2212,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.18,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2392,0.5721,0.2212,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.20,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2362,0.5886,0.2212,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.21,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2362,0.6036,0.2212,0.03"
urn:cts:greekLit:tlg0012.tlg001.e3:10.22,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2362,0.6441,0.2212,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:10.23,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2362,0.6577,0.2212,0.0285"
urn:cts:greekLit:tlg0012.tlg001.e3:10.24,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2332,0.6772,0.2212,0.024"
urn:cts:greekLit:tlg0012.tlg001.e3:10.25,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2262,0.6907,0.2332,0.027"
urn:cts:greekLit:tlg0012.tlg001.e3:10.26,"urn:cite:hmt:e3bifolio.E3-124v-125r@0.2302,0.7087,0.2332,0.03"
